Link,Pilseta,Zemes Tips,Zemes Numurs,Datums,Datu iev.,Cena EUR,Cena m2,Platiba Daudzums,Platiba Mervieniba,Adrese
https://www.ss.com/msg/lv/real-estate/plots-and-lands/cesis-and-reg/ligatnes-pag/cjgci.html,Cēsis un raj.,Zeme privātmājas būvēšanai,42620050071,['Datums: 13.11.2022 16:54'],11/28/2022,25000,5,5000,m²,Kalēji 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/dobele-and-reg/dobele/aibxj.html,Dobele un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 10.11.2022 08:54'],11/28/2022,25000,16.67,1500,m²,Ādama 1 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/dobele-and-reg/dobele/bxxdd.html,Dobele un raj.,Zeme privātmājas būvēšanai,46010011317,['Datums: 24.10.2022 08:30'],11/28/2022,25000,13.77,1816,m²,Gaismas iela 31 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/dobele-and-reg/berzes-pag/febxb.html,Dobele un raj.,Zeme privātmājas būvēšanai,46520030209,['Datums: 13.10.2022 18:46'],11/28/2022,25000,0.63,4,ha.,Āmuļi x 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jekabpils-and-reg/jekabpils/heeol.html,Jēkabpils un raj.,Zeme privātmājas būvēšanai,56010022614,['Datums: 07.11.2022 21:25'],11/28/2022,25000,2.14,1.17,ha.,Nameja 67/69 67/69 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kuldiga-and-reg/kuldiga/hiido.html,Kuldīga un raj.,Cits,62600010131,['Datums: 19.11.2022 21:02'],11/28/2022,25000,1.56,1.6,ha.,Kurmales pagasts 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/liepaja-and-reg/nicas-pag/hgpoh.html,Liepāja un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 25.11.2022 19:02'],11/28/2022,25000,4.98,5021,m²,Grīnvalti 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/liepaja-and-reg/kazdangas-pag/afgmp.html,Liepāja un raj.,Cits,64680120014,['Datums: 22.11.2022 14:11'],11/28/2022,25000,0.45,5.6,ha.,Nav 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/liepaja-and-reg/nicas-pag/hekbm.html,Liepāja un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 22.11.2022 12:17'],11/28/2022,25000,7.2,3474,m²,Grīnvalti 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/limbadzi-and-reg/salacgrivas-l-t/akjgh.html,Limbaži un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 21.11.2022 10:15'],11/28/2022,25000,24.04,1040,m²,Jūras iela 1 
